potential_total_value_of_award,binned_potential_value,Last Contract Modification/Ammendment,recipient_state_name,extent_competed_code,product_or_service_code,award_type_code,program_activities_funding_this_award,woman_owned_business,minority_owned_business,other_minority_owned_business,contracting_officers_determination_of_business_size_code,number_of_offers_imputed
69560.96,Low,7,MASSACHUSETTS,G,J066,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O,1
2692394.4,Med,39,TEXAS,A,R429,C,0000: UNKNOWN;0044: CIVIL ENFORCEMENT;0050: COMPLIANCE MONITORING;0099: RCRA: CORRECTIVE ACTION;00A1: RCRA:  WASTE MANAGEMENT;0304: STRATOSPHERIC OZONE: DOMESTIC PROGRAMS;0805: REDUCE RISKS FROM INDOOR AIR;3045: CLEAN AIR ALLOWANCE TRADING PROGRAMS;3046: CLIMATE PROTECTION PROGRAM,f,f,f,O,1
477626.28,Med,12,MARYLAND,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S,6
51073.44,Low,1,GEORGIA,A,R429,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O,1
9799696.81,Med,1,VIRGINIA,A,F999,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S,2
219483.95,Low,3,MISSOURI,D,F111,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S,1
340115.28,Med,9,VIRGINIA,A,B504,C,0003: CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS);0044: CIVIL ENFORCEMENT;0050: COMPLIANCE MONITORING;00D2: SUPERFUND:  REMEDIAL;00D4: SURFACE WATER PROTECTION;00L7: GOLD KING MINE MONITORING,f,f,f,O,1
63454.1,Low,10,CALIFORNIA,A,B510,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O,1
13751032.49,Med,41,VIRGINIA,A,D399,C,"0000: UNKNOWN;0050: COMPLIANCE MONITORING;0073: HOMELAND SEC:  PROTECTION OF EPA PERSONNEL & INFRASTRUCTURE;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00C7: SUPERFUND: ENFORCEMENT;00D2: SUPERFUND:  REMEDIAL;00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F3: ACQUISITION MANAGEMENT;00F5: HUMAN RESOURCES MANAGEMENT;00F8: IT / DATA MANAGEMENT;00G7: FINANCIAL ASSISTANCE GRANTS / IAG MANAGEMENT",f,f,f,O,11
458962.83,High,8,VIRGINIA,A,B516,C,"0053: DRINKING WATER PROGRAMS;00D4: SURFACE WATER PROTECTION;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,O,1
