potential_total_value_of_award,recipient_state_name,extent_competed_code,product_or_service_code,award_type_code,program_activities_funding_this_award,woman_owned_business,minority_owned_business,other_minority_owned_business,contracting_officers_determination_of_business_size_code
69560.96,MASSACHUSETTS,G,J066,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O
2692394.4,TEXAS,A,R429,C,0000: UNKNOWN;0044: CIVIL ENFORCEMENT;0050: COMPLIANCE MONITORING;0099: RCRA: CORRECTIVE ACTION;00A1: RCRA:  WASTE MANAGEMENT;0304: STRATOSPHERIC OZONE: DOMESTIC PROGRAMS;0805: REDUCE RISKS FROM INDOOR AIR;3045: CLEAN AIR ALLOWANCE TRADING PROGRAMS;3046: CLIMATE PROTECTION PROGRAM,f,f,f,O
477626.28,MARYLAND,D,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,S
51073.44,GEORGIA,A,R429,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O
9799696.81,VIRGINIA,A,F999,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S
219483.95,MISSOURI,D,F111,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S
340115.28,VIRGINIA,A,B504,C,0003: CATEGORICAL GRANT:  PUBLIC WATER SYSTEM SUPERVISION (PWSS);0044: CIVIL ENFORCEMENT;0050: COMPLIANCE MONITORING;00D2: SUPERFUND:  REMEDIAL;00D4: SURFACE WATER PROTECTION;00L7: GOLD KING MINE MONITORING,f,f,f,O
63454.1,CALIFORNIA,A,B510,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O
13751032.49,VIRGINIA,A,D399,C,"0000: UNKNOWN;0050: COMPLIANCE MONITORING;0073: HOMELAND SEC:  PROTECTION OF EPA PERSONNEL & INFRASTRUCTURE;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00C7: SUPERFUND: ENFORCEMENT;00D2: SUPERFUND:  REMEDIAL;00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F3: ACQUISITION MANAGEMENT;00F5: HUMAN RESOURCES MANAGEMENT;00F8: IT / DATA MANAGEMENT;00G7: FINANCIAL ASSISTANCE GRANTS / IAG MANAGEMENT",f,f,f,O
458962.83,VIRGINIA,A,B516,C,"0053: DRINKING WATER PROGRAMS;00D4: SURFACE WATER PROTECTION;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,O
0,CALIFORNIA,A,R408,,,f,f,f,O
850000000,VIRGINIA,D,F108,,0000: UNKNOWN,f,f,f,S
747720.25,WASHINGTON,C,Q701,B,"0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS",f,f,f,O
119248,MASSACHUSETTS,A,R499,C,00A1: RCRA:  WASTE MANAGEMENT,f,f,f,O
15798409,TEXAS,A,T009,,,f,f,f,S
13328716.26,MAINE,D,Z1AZ,C,"0084: HUMAN HEALTH RISK ASSESSMENT;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,t,f,S
88938.06,VIRGINIA,A,R499,C,0046: CLIMATE PROTECTION PROGRAM,f,f,f,O
1579002.39,VIRGINIA,A,R425,C,00D2: SUPERFUND:  REMEDIAL,f,t,f,S
19772,MISSOURI,F,5410,B,,f,f,f,S
213702,CALIFORNIA,D,AJ11,C,0084: HUMAN HEALTH RISK ASSESSMENT;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,f,f,f,S
41230,NORTH CAROLINA,A,R499,C,0045: CLEAN AIR ALLOWANCE TRADING PROGRAMS,f,f,f,O
105397.5,VIRGINIA,A,V301,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O
451470,VIRGINIA,A,R499,C,00A1: RCRA:  WASTE MANAGEMENT;00A2: RCRA:  WASTE MINIMIZATION & RECYCLING,f,f,f,O
498530,CALIFORNIA,A,R499,C,0081: INFRASTRUCTURE ASSISTANCE:  DRINKING WATER SRF,f,t,f,S
209974.1,VIRGINIA,A,B528,C,0046: CLIMATE PROTECTION PROGRAM,f,f,f,O
66153.92,COLORADO,D,R425,C,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,t,f,f,S
275000000,CALIFORNIA,D,F108,,0000: UNKNOWN,f,f,f,S
8615.4,NEW JERSEY,F,R606,B,00E3: ADMINISTRATIVE LAW,t,f,f,S
56850,NEW YORK,F,D317,B,0000: UNKNOWN;0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,f,f,f,O
15544390.42,CALIFORNIA,A,B510,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,O
952200.5,VIRGINIA,A,U008,,,t,f,f,S
600766.31,MARYLAND,A,R499,C,0061: FEDERAL VEHICLE AND FUELS STANDARDS AND CERTIFICATION,f,f,f,O
258857,MASSACHUSETTS,A,F115,C,0053: DRINKING WATER PROGRAMS;00D4: SURFACE WATER PROTECTION,f,f,f,S
281112,VIRGINIA,A,R499,C,0084: HUMAN HEALTH RISK ASSESSMENT;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,O
5636768.8,COLORADO,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O
2080550,VIRGINIA,A,F999,A,00J7: GREAT LAKES RESTORATION,f,f,f,S
99992.14,MICHIGAN,D,AJ11,D,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES,f,f,f,S
99998.63,CALIFORNIA,D,AJ11,D,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,S
213234.87,MISSOURI,A,R429,C,"0000: UNKNOWN;0072: HOMELAND SECURITY:  PREPAREDNESS, RESPONSE, AND RECOVERY;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL",f,f,f,O
19589.73,COLORADO,D,R425,C,00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY,t,f,f,S
4998125.02,NORTH CAROLINA,A,R499,C,0000: UNKNOWN;0054: ENDOCRINE DISRUPTORS,f,f,f,O
2879100,VIRGINIA,A,F999,A,0043: BROWNFIELDS;00D2: SUPERFUND:  REMEDIAL,f,f,f,S
1162315.49,VIRGINIA,A,R430,A,0000: UNKNOWN;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,f,f,O
627554,MASSACHUSETTS,A,R499,C,0053: DRINKING WATER PROGRAMS,f,f,f,O
1566745.82,COLORADO,A,F999,C,00C9: SUPERFUND:  FEDERAL FACILITIES,t,t,f,S
36383,VIRGINIA,A,V301,A,"00E5: CENTRAL PLANNING, BUDGETING, AND FINANCE",f,f,f,O
96286,MASSACHUSETTS,A,R425,C,00D4: SURFACE WATER PROTECTION,f,f,f,O
885900,NEW YORK,A,R499,C,00L5: WATER INFRASTRUCTURE FINANCE AND INNOVATION,f,f,f,O
789900,NEW YORK,A,R499,C,00L5: WATER INFRASTRUCTURE FINANCE AND INNOVATION,f,f,f,O
24740393.63,VIRGINIA,A,D399,C,0000: UNKNOWN;00F8: IT / DATA MANAGEMENT,f,f,f,O
69695,ALABAMA,F,4510,B,00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES,f,f,f,S
484841.46,MARYLAND,A,R499,C,0046: CLIMATE PROTECTION PROGRAM,f,f,f,O
20040,CALIFORNIA,F,6640,B,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY",f,f,f,S
2002400,NEW YORK,A,R499,C,00L5: WATER INFRASTRUCTURE FINANCE AND INNOVATION,f,f,f,O
12249616.02,VIRGINIA,A,R408,C,0000: UNKNOWN;0050: COMPLIANCE MONITORING;0053: DRINKING WATER PROGRAMS;0071: HOMELAND SECURITY:  CRITICAL INFRASTRUCTURE PROTECTION;00A1: RCRA:  WASTE MANAGEMENT;00D8: TRI / RIGHT TO KNOW;00F1: EXCHANGE NETWORK;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS;00F8: IT / DATA MANAGEMENT,f,f,f,O
13379,NORTH CAROLINA,G,U005,B,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY",f,f,f,O
364373.97,OHIO,D,C1DB,C,0000: UNKNOWN;00F2: FACILITIES INFRASTRUCTURE AND OPERATIONS,f,t,f,S
410962.8,COLORADO,A,F108,C,00D2: SUPERFUND:  REMEDIAL,f,f,f,O
5000000,MICHIGAN,A,F999,,,f,f,f,S
875000,OHIO,D,F108,C,0000: UNKNOWN;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S
47815.2,FLORIDA,C,J099,B,0000: UNKNOWN;0044: CIVIL ENFORCEMENT;0050: COMPLIANCE MONITORING;00A1: RCRA:  WASTE MANAGEMENT;00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL;00D2: SUPERFUND:  REMEDIAL;00D4: SURFACE WATER PROTECTION;00J1: PESTICIDES: PROTECT HUMAN HEALTH FROM PESTICIDE RISK,f,f,f,O
255000000,GEORGIA,D,F108,,0000: UNKNOWN,f,f,f,S
145538.58,VIRGINIA,A,7A21,A,0076: INDOOR AIR:  RADON PROGRAM;00H5: REDUCE RISKS FROM INDOOR AIR,f,f,f,O
5000,MISSOURI,D,F111,C,00C6: SUPERFUND:  EMERGENCY RESPONSE AND REMOVAL,f,f,f,S
386120,MARYLAND,A,F103,A,0053: DRINKING WATER PROGRAMS,f,f,f,O
916961,MICHIGAN,F,7A21,B,00F8: IT / DATA MANAGEMENT,f,f,f,S
258270.67,MASSACHUSETTS,A,R499,C,0046: CLIMATE PROTECTION PROGRAM,f,f,f,O
74000,ALABAMA,F,4510,B,"00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K8: RESEARCH: SUSTAINABLE AND HEALTHY COMMUNITIES",f,f,f,S
356502,NEW HAMPSHIRE,C,6710,B,0057: ENVIRONMENTAL JUSTICE,f,f,f,O
259851,VIRGINIA,A,R499,C,0000: UNKNOWN;00D4: SURFACE WATER PROTECTION,f,f,f,O
364807.02,VIRGINIA,A,AJ11,C,"0084: HUMAN HEALTH RISK ASSESSMENT;00K6: RESEARCH: AIR, CLIMATE AND ENERGY;00K7: RESEARCH: SAFE AND SUSTAINABLE WATER RESOURCES;00K9: RESEARCH: CHEMICAL SAFETY AND SUSTAINABILITY",f,f,f,O
151097,VIRGINIA,A,R408,A,0063: GEOGRAPHIC PROGRAM:  CHESAPEAKE BAY,f,f,f,O
540919.21,MASSACHUSETTS,A,F999,C,0000: UNKNOWN;0043: BROWNFIELDS;0057: ENVIRONMENTAL JUSTICE;0090: NEPA IMPLEMENTATION;00A4: REGULATORY INNOVATION,f,f,f,O
93129,OHIO,A,F999,C,00A1: RCRA:  WASTE MANAGEMENT,f,f,f,O
49599,VIRGINIA,A,R499,A,0046: CLIMATE PROTECTION PROGRAM,f,f,f,O
501002.04,MARYLAND,D,F999,C,0000: UNKNOWN;00E9: ENVIRONMENTAL EDUCATION,f,f,f,S
